request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_65,5357.48,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 15500 minimum.
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Use full_payment with 1 payment(s); projected minimum balance INR 241233.53 remains at least 80700.
request_67,218.48,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the USD 1200 minimum.
request_68,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1500 minimum.
request_69,399.50,not_affordable,not_recommended,none,2026-03-16,none,No eligible payment strategy completes the request while preserving the EUR 700 minimum.
request_70,48080.83,not_affordable,not_recommended,none,2025-02-16,none,No eligible payment strategy completes the request while preserving the INR 115000 minimum.
request_71,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 8884800 minimum.
request_72,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 12200 minimum.
request_73,58484.23,not_affordable,not_recommended,none,2023-02-16,none,No eligible payment strategy completes the request while preserving the INR 103200 minimum.
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 62335.80 remains at least 21900.
request_75,7408.01,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 39000 minimum.
request_76,492.69,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1800 minimum.
request_77,56888.64,not_affordable,not_recommended,none,2025-11-16,none,No eligible payment strategy completes the request while preserving the INR 82200 minimum.
request_78,29265.99,not_affordable,not_recommended,none,2025-12-16,none,No eligible payment strategy completes the request while preserving the INR 55200 minimum.
request_79,23.83,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1000 minimum.
request_80,39573.14,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 121300 minimum.
request_81,1807.97,not_affordable,not_recommended,none,2026-09-16,none,No eligible payment strategy completes the request while preserving the USD 1600 minimum.
request_82,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1100 minimum.
request_83,3426.75,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 37800 minimum.
request_84,18035.96,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 91300 minimum.
request_85,233417.82,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 6396300 minimum.
request_86,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 84900 minimum.
request_87,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 185900 minimum.
request_88,10420.27,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-16,none,Use installments with 3 payment(s); projected minimum balance ZAR 27175.04 remains at least 25800.
request_89,9043617.45,not_affordable,not_recommended,none,2026-01-16,none,No eligible payment strategy completes the request while preserving the IDR 12534700 minimum.
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 28333.55 remains at least 7600.
request_91,202.03,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the EUR 2100 minimum.
request_92,33699.39,affordable_with_plan,full_payment,2025-02-05:34034,2025-03-16,reduce_to:event_8620:558.8,Use full_payment with 1 payment(s); projected minimum balance ZAR 28848.44333333333333333333334 remains at least 28100.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Use full_payment with 1 payment(s); projected minimum balance USD 1972.99 remains at least 1900.
request_94,572.00,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Use full_payment with 1 payment(s); projected minimum balance EUR 1979.41 remains at least 600.
request_95,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 145500 minimum.
request_96,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 56500 minimum.
request_97,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 29700 minimum.
request_98,1858.54,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 30000 minimum.
request_99,16098.88,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-16,stop:event_9188|reduce_to:event_9232:1065.9,Use full_payment with 1 payment(s); projected minimum balance ZAR 49234.57 remains at least 49100.
request_100,23915.92,not_affordable,not_recommended,none,2024-08-16,none,No eligible payment strategy completes the request while preserving the ZAR 32500 minimum.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Use full_payment with 1 payment(s); projected minimum balance INR 188694.07 remains at least 187400.
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use installments with 3 payment(s); projected minimum balance EUR 2822.226 remains at least 900.
request_103,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 125500 minimum.
request_104,883.88,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 24700 minimum.
request_105,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 73900 minimum.
request_106,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1200 minimum.
request_107,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1600 minimum.
request_108,978.01,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 24100 minimum.
request_109,359.04,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1700 minimum.
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use installments with 3 payment(s); projected minimum balance ZAR 34898.818 remains at least 11200.
request_111,14178235.05,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 23022800 minimum.
request_112,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 500 minimum.
request_113,9552.12,not_affordable,not_recommended,none,2026-11-16,none,No eligible payment strategy completes the request while preserving the INR 82300 minimum.
request_114,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 113400 minimum.
request_115,13816.98,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the INR 38800 minimum.
request_116,1629.95,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 80300 minimum.
request_117,836.21,not_affordable,not_recommended,none,2026-07-16,none,No eligible payment strategy completes the request while preserving the EUR 1000 minimum.
request_118,138.97,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 600 minimum.
request_119,51492.77,not_affordable,not_recommended,none,2025-07-16,none,No eligible payment strategy completes the request while preserving the INR 151200 minimum.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Use full_payment with 1 payment(s); projected minimum balance IDR 20543750.30 remains at least 20050300.
request_121,607.11,affordable_with_plan,full_payment,2024-03-03:633.6,2024-03-16,stop:event_11163|reduce_to:event_11231:19.5,Use full_payment with 1 payment(s); projected minimum balance USD 807.22 remains at least 800.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use installments with 3 payment(s); projected minimum balance IDR 21061027.88 remains at least 12588500.
request_123,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 18091200 minimum.
request_124,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1600 minimum.
request_125,5007.33,not_affordable,not_recommended,none,2025-11-16,none,No eligible payment strategy completes the request while preserving the ZAR 11300 minimum.
request_126,141388.79,not_affordable,not_recommended,none,2026-09-21,none,No eligible payment strategy completes the request while preserving the INR 129700 minimum.
request_127,5427.16,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the ZAR 41000 minimum.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 42671.496 remains at least 42600.
request_129,92.64,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 800 minimum.
request_130,240.47,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1400 minimum.
request_131,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1100 minimum.
request_132,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1100 minimum.
request_133,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 9986200 minimum.
request_134,3610868.14,not_affordable,not_recommended,none,2025-10-16,none,No eligible payment strategy completes the request while preserving the IDR 15902500 minimum.
request_135,259.95,not_affordable,not_recommended,none,2026-07-16,none,No eligible payment strategy completes the request while preserving the USD 500 minimum.
request_136,473.86,not_affordable,not_recommended,none,2024-06-16,none,No eligible payment strategy completes the request while preserving the USD 1100 minimum.
request_137,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 71800 minimum.
request_138,710.93,affordable_with_plan,partial_payment,2026-04-07:710.93|2026-04-16:546.01,2026-04-16,none,Use partial_payment with 2 payment(s); projected minimum balance EUR 2300.002 remains at least 2300.
request_139,1149.09,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the USD 1500 minimum.
request_140,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 21600 minimum.
request_141,5747.58,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 67300 minimum.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Use full_payment with 1 payment(s); projected minimum balance USD 3100.216888888888888888888888 remains at least 1700.
request_143,1435.08,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 11300 minimum.
request_144,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 600 minimum.
request_145,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 155400 minimum.
request_146,8255.32,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 108600 minimum.
request_147,451.07,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-16,none,Use installments with 3 payment(s); projected minimum balance EUR 959.448 remains at least 900.
request_148,6585.66,not_affordable,not_recommended,none,2024-08-16,none,No eligible payment strategy completes the request while preserving the ZAR 20000 minimum.
request_149,20949.88,not_affordable,not_recommended,none,2026-01-16,none,No eligible payment strategy completes the request while preserving the ZAR 42100 minimum.
request_150,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 700 minimum.
request_151,9104439.08,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 31633600 minimum.
request_152,10640.98,not_affordable,not_recommended,none,2025-04-16,none,No eligible payment strategy completes the request while preserving the ZAR 11900 minimum.
request_153,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1400 minimum.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use installments with 3 payment(s); projected minimum balance EUR 2152.384 remains at least 1300.
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Use full_payment with 1 payment(s); projected minimum balance INR 74559.03 remains at least 56300.
request_156,5517.71,not_affordable,not_recommended,none,2026-06-16,none,No eligible payment strategy completes the request while preserving the ZAR 26900 minimum.
request_157,4143258.52,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 15714100 minimum.
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use installments with 3 payment(s); projected minimum balance INR 546998.46 remains at least 131400.
request_159,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 8700 minimum.
request_160,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1200 minimum.
request_161,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 23010400 minimum.
request_162,761221.23,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 24161100 minimum.
request_163,7031681.54,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the IDR 26728700 minimum.
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use installments with 3 payment(s); projected minimum balance IDR 46984917.26133333333333333332 remains at least 29550500.
request_165,54733.36,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 95000 minimum.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use installments with 3 payment(s); projected minimum balance USD 2959.523777777777777777777776 remains at least 1700.
request_167,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 31200 minimum.
request_168,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 114400 minimum.
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 22759.3944 remains at least 18700.
request_170,28811438.80,not_affordable,not_recommended,none,2025-10-16,none,No eligible payment strategy completes the request while preserving the IDR 24715800 minimum.
request_171,17.35,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 500 minimum.
request_172,8186.11,not_affordable,not_recommended,none,2024-07-16,none,No eligible payment strategy completes the request while preserving the ZAR 27200 minimum.
request_173,53766.75,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 79100 minimum.
request_174,953.54,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 700 minimum.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Use full_payment with 1 payment(s); projected minimum balance EUR 1805.50 remains at least 1700.
request_176,128.09,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 600 minimum.
request_177,440.59,affordable_with_plan,full_payment,2026-01-05:1017.6,,stop:event_16234|stop:event_16235|reduce_to:event_16317:32,Use full_payment with 1 payment(s); projected minimum balance USD 1317.892 remains at least 1300.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use installments with 3 payment(s); projected minimum balance EUR 5307.104000000000000000000001 remains at least 1400.
request_179,3900341.41,not_affordable,not_recommended,none,2025-07-16,none,No eligible payment strategy completes the request while preserving the IDR 41430800 minimum.
request_180,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 37300 minimum.
request_181,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 2000 minimum.
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 39435.048 remains at least 31100.
request_183,22270288.73,not_affordable,not_recommended,none,2026-06-16,none,No eligible payment strategy completes the request while preserving the IDR 11878300 minimum.
request_184,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 110800 minimum.
request_185,231.57,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1300 minimum.
request_186,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 22000 minimum.
request_187,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 128300 minimum.
request_188,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 900 minimum.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Use full_payment with 1 payment(s); projected minimum balance EUR 457.11 remains at least 400.
request_190,407.12,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1600 minimum.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Use full_payment with 1 payment(s); projected minimum balance EUR 580.54 remains at least 500.
request_192,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 1000 minimum.
request_193,5.66,not_affordable,not_recommended,none,2024-05-16,none,No eligible payment strategy completes the request while preserving the EUR 1000 minimum.
request_194,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 113600 minimum.
request_195,233.10,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 700 minimum.
request_196,285.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 500 minimum.
request_197,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 26245900 minimum.
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Use full_payment with 1 payment(s); projected minimum balance INR 148057.2838461538461538461538 remains at least 124300.
request_199,14374848.02,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 25359500 minimum.
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Use full_payment with 1 payment(s); projected minimum balance IDR 23766311.732 remains at least 20114600.
request_201,20763974.48,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 17304500 minimum.
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Use full_payment with 1 payment(s); projected minimum balance INR 161905.75 remains at least 147800.
request_203,211.98,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1400 minimum.
request_204,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1300 minimum.
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Use full_payment with 1 payment(s); projected minimum balance IDR 14819367.872 remains at least 13994300.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use installments with 3 payment(s); projected minimum balance EUR 1866.88 remains at least 900.
request_207,3965.00,affordable_later,wait,2026-07-16:11830,2026-07-16,none,Use wait with 1 payment(s); projected minimum balance ZAR 13690.84692307692307692307693 remains at least 13600.
request_208,2776517.18,affordable_later,wait,2024-06-16:4413000,2024-06-16,none,Use wait with 1 payment(s); projected minimum balance IDR 11032783.87153846153846153845 remains at least 10470700.
request_209,1135.81,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 18400 minimum.
request_210,768.82,affordable_with_plan,partial_payment,2026-04-06:768.82|2026-04-16:591.20,2026-04-16,none,Use partial_payment with 2 payment(s); projected minimum balance USD 2000.00 remains at least 2000.
request_211,153.34,not_affordable,not_recommended,none,2024-11-16,none,No eligible payment strategy completes the request while preserving the EUR 1500 minimum.
request_212,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 29579800 minimum.
request_213,1541.20,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the USD 2100 minimum.
request_214,25561.00,not_affordable,not_recommended,none,2025-02-16,none,No eligible payment strategy completes the request while preserving the INR 174900 minimum.
request_215,19935.89,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 15700 minimum.
request_216,315.41,not_affordable,not_recommended,none,2026-09-16,none,No eligible payment strategy completes the request while preserving the USD 1800 minimum.
request_217,17907.43,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the ZAR 26800 minimum.
request_218,22333842.29,not_affordable,not_recommended,none,2025-09-16,none,No eligible payment strategy completes the request while preserving the IDR 34477200 minimum.
request_219,624.60,not_affordable,not_recommended,none,2026-06-16,none,No eligible payment strategy completes the request while preserving the EUR 1100 minimum.
request_220,49.84,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1100 minimum.
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Use full_payment with 1 payment(s); projected minimum balance INR 93814.818 remains at least 81500.
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Use full_payment with 1 payment(s); projected minimum balance ZAR 78116.53 remains at least 27300.
request_223,265.80,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 800 minimum.
request_224,7667668.09,not_affordable,not_recommended,none,2025-04-16,none,No eligible payment strategy completes the request while preserving the IDR 22187600 minimum.
request_225,8085506.28,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 17670700 minimum.
request_226,142882.41,affordable_with_plan,full_payment,2024-12-03:157000,2025-02-16,reduce_to:event_20754:3552,Use full_payment with 1 payment(s); projected minimum balance INR 211053.34 remains at least 209400.
request_227,5767.24,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the INR 62900 minimum.
request_228,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 26191200 minimum.
request_229,391.57,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 1000 minimum.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Use full_payment with 1 payment(s); projected minimum balance EUR 3898.27 remains at least 2000.
request_231,26582.34,not_affordable,not_recommended,none,2026-03-16,none,No eligible payment strategy completes the request while preserving the ZAR 24300 minimum.
request_232,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the EUR 2400 minimum.
request_233,0.00,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 10365700 minimum.
request_234,160.26,not_affordable,not_recommended,none,2026-09-16,none,No eligible payment strategy completes the request while preserving the EUR 700 minimum.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Use full_payment with 1 payment(s); projected minimum balance USD 783.314 remains at least 700.
request_236,3971576.77,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 16768600 minimum.
request_237,16237378.96,not_affordable,not_recommended,none,,none,No eligible payment strategy completes the request while preserving the IDR 22431500 minimum.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use installments with 3 payment(s); projected minimum balance USD 1118.17 remains at least 700.
